,电力节点,,对应通信节点,,变压器容量/MVA,发电/用电量,属性,注,,,,,,,,,,,,
,a1,1,A11,1,2x1000,,500kV变,,,,,,1,,,0,0,,1,0
,a2,2,A8,2,2x1000,,500kV变,,,,,,2,,,0,0,,2,0
,a3,3,A3,3,3x750,,500kV变,,,,,,3,,,0,0,,3,0
,b1,4,B13,4,2x240,,220kV变,,,,,,4,,480,0.0457142857142857,4.57142857142857,,4,-4.57142857142857
,b2,5,B12,5,2x240,,220kV变,,,,,,5,,480,0.0457142857142857,4.57142857142857,,5,-4.57142857142857
,b3,6,B14,6,2x240,,220kV变,,,,,,6,,480,0.0457142857142857,4.57142857142857,,6,-4.57142857142857
,b4,7,/B39,7,2x90+2x150,,220kV变,新孤站=B39（新增）,,,,,7,,480,0.0457142857142857,4.57142857142857,,7,-4.57142857142857
,b5,8,B15,8,2x240,,220kV变,,,,,,8,,480,0.0457142857142857,4.57142857142857,,8,-4.57142857142857
,b6,9,B9,9,150+180,,220kV变,,,,,,9,,330,0.0314285714285714,3.14285714285714,,9,-3.14285714285714
,b7,10,B3,10,2x180,,220kV变,,,,,,10,,360,0.0342857142857143,3.42857142857143,,10,-3.42857142857143
,b8,11,B5,11,2x120,,220kV变,,,,,,11,,240,0.0228571428571429,2.28571428571429,,11,-2.28571428571429
,b9,12,/B2,12,1x240,,220kV变,褚家站=利津Ⅲ站,,,,,12,,240,0.0228571428571429,2.28571428571429,,12,-2.28571428571429
,b10,13,B1,13,2x180,,220kV变,,,,,,13,,360,0.0342857142857143,3.42857142857143,,13,-3.42857142857143
,b11,14,A1,14,2x180,,220kV变,,,,,,14,,360,0.0342857142857143,3.42857142857143,,14,-3.42857142857143
,b12,15,A9,15,2x180+180,,220kV变,,,,,,15,,540,0.0514285714285714,5.14285714285714,,15,-5.14285714285714
,b13,16,/B22,16,3x120,,220kV变,九分场站=永化站,,,,,16,,360,0.0342857142857143,3.42857142857143,,16,-3.42857142857143
,b14,17,A10,17,2x180,,220kV变,,,,,,17,,360,0.0342857142857143,3.42857142857143,,17,-3.42857142857143
,b15,18,A2,18,2x180,,220kV变,,,,,,18,,360,0.0342857142857143,3.42857142857143,,18,-3.42857142857143
,b16,19,A5,19,120+150,,220kV变,,,,,,19,,270,0.0257142857142857,2.57142857142857,,19,-2.57142857142857
,b17,20,B26,20,2x180,,220kV变,,,,,,20,,360,0.0342857142857143,3.42857142857143,,20,-3.42857142857143
,b18,21,B24,21,3x240,,220kV变,,,,,,21,,720,0.0685714285714286,6.85714285714286,,21,-6.85714285714286
,b19,22,B27,22,2x240,,220kV变,,,,,,22,,480,0.0457142857142857,4.57142857142857,,22,-4.57142857142857
,b20,23,B20,23,2x180,,220kV变,,,,,,23,,360,0.0342857142857143,3.42857142857143,,23,-3.42857142857143
,b21,24,B35,24,3x180,,220kV变,,,,,,24,,540,0.0514285714285714,5.14285714285714,,24,-5.14285714285714
,b22,25,B34,25,2x120+180,,220kV变,,,,,,25,,420,0.04,4,,25,-4
,b23,26,C133,26,2x240,,220kV变,,,,,,26,,480,0.0457142857142857,4.57142857142857,,26,-4.57142857142857
,b24,27,B36,27,2x150+180,,220kV变,,,,,,27,,480,0.0457142857142857,4.57142857142857,,27,-4.57142857142857
,b25,28,B37,28,2x240,,220kV变,,,,,,28,,480,0.0457142857142857,4.57142857142857,,28,-4.57142857142857
,,,,,,,,,,,,,,,10500,1,100,,29,9.50665585190133
,,,,,,,,,,,,,,,,,,,30,2.24247340044849
,逻辑发电站,,,,聚合了哪些发电厂,连接了哪些变电站,风电容量,光伏容量,热电容量,其他,总容量,,,,,,,,31,2.9820125005964
,lg1,29,LG1,29,"G4,G5,G17",b5,297,500,,,797,,29,lg1,797,0.0950665585190133,9.50665585190133,,32,23.8561000047712
,lg2,30,LG2,30,"G2,G3,G14","b5,b6",99,89,,,188,,30,lg2,188,0.0224247340044849,2.24247340044849,,33,1.52679040030536
,lg3,31,LG3,31,"G6,G7,G8,G15,G16","b2,b6",198,40,12,,250,,31,lg3,250,0.029820125005964,2.9820125005964,,34,2.14227778042846
,lg4,32,LG4,32,G1,a1,,,2000,,2000,,32,lg4,2000,0.238561000047712,23.8561000047712,,35,10.2223388520445
,lg5,33,LG5,33,"G10,G11","b1,b2,b3",48,,80,,128,,33,lg5,128,0.0152679040030536,1.52679040030536,,36,4.9739968509948
,lg6,34,LG6,34,"G13,G12,G18","b3,b4",99.6,80,,,179.6,,34,lg6,179.6,0.0214227778042846,2.14227778042846,,37,2.38561000047712
,lg7,35,LG7,35,"G28,G29",b10,,,857,,857,,35,lg7,857,0.102223388520445,10.2223388520445,,38,10.1925187270385
,lg8,36,LG8,36,"G30,G31,G32,G33","b11,b12",,,408,9,417,,36,lg8,417,0.049739968509948,4.9739968509948,,39,0.834963500166993
,lg9,37,LG9,37,G19,a2,,200,,,200,,37,lg9,200,0.0238561000047712,2.38561000047712,,40,1.14509280022902
,lg10,38,LG10,38,"G20,G21,G22,G23,G24,G25,G26,G27,G43,G44,G45,G46,G37","b17,b18,b19",49.5,251,500,24,854.5,,38,lg10,854.5,0.101925187270385,10.1925187270385,,41,12.405172002481
,lg11,39,LG11,39,"G34,G35","b11,b14",,40,30,,70,,39,lg11,70,0.00834963500166993,0.834963500166993,,42,7.8725130015745
,lg12,40,LG12,40,"G40,G41,G42","b14,b15",,40,56,,96,,40,lg12,96,0.0114509280022902,1.14509280022902,,43,1.46715015029343
,lg13,41,LG13,41,G38,"b8,b13,b14,b16,b22",,,1040,,1040,,41,lg13,1040,0.12405172002481,12.405172002481,,44,0.596402500119281
,lg14,42,LG14,42,G39,a3,,,660,,660,,42,lg14,660,0.078725130015745,7.8725130015745,,45,5.64793167612959
,lg15,43,LG15,43,"G47,G48",b20,99,,24,,123,,43,lg15,123,0.0146715015029343,1.46715015029343,,,-2.99760216648792E-14
,lg16,44,LG16,44,"G49,G50,G51,G52","b21,b22",,,38,12,50,,44,lg16,50,0.0059640250011928,0.596402500119281,,,
,lg17,45,LG17,45,"G53,G54,G55,G56,G57,G58","b24,b25",,,473.5,,473.5,,45,lg17,473.5,0.0564793167612959,5.64793167612959,,,
,total,,,,,,,,,,7586.6,,,,8383.6,1,100,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
500kv+220kv电力拓扑,,,,,,,,,,,,,,,,,,,,
start,end,,,capacity(kv),注,,,,,,,,,,,,,,,
a1,a2,1,2,500ACx2,变电站,500ACx2,500*2,1000,9.09090909090909,,,,,,,,,,,
a1,b2,1,5,220ACx2,,220ACx2,220*2,440,4,,,,,,,,,,,
a1,b3,1,6,220ACx2,,220ACx2,220*2,440,4,,,,,,,,,,,
a1,b5,1,8,220ACx2,,220ACx2,220*2,440,4,,,,,,,,,,,
a2,a3,2,3,500ACx2,,500ACx2,500*2,1000,9.09090909090909,,,,,,,,,,,
a2,b12,2,15,220ACx2,,220ACx2,220*2,440,4,,,,,,,,,,,
a2,b18,2,21,220AC,,220AC,220,220,2,,,,,,,,,,,
a2,b19,2,22,220AC,,220AC,220,220,2,,,,,,,,,,,
a3,b11,3,14,220AC,,220AC,220,220,2,,,,,,,,,,,
a3,b14,3,17,220AC,,220AC,220,220,2,,,,,,,,,,,
a3,b16,3,19,220AC,,220AC,220,220,2,,,,,,,,,,,
a3,b17,3,20,220AC,,220AC,220,220,2,,,,,,,,,,,
a3,b18,3,21,220AC,,220AC,220,220,2,,,,,,,,,,,
a3,b19,3,22,220AC,,220AC,220,220,2,,,,,,,,,,,
a3,b20,3,23,220ACx2,,220ACx2,220*2,440,4,,,,,,,,,,,
a3,b21,3,24,220ACx2,,220ACx2,220*2,440,4,,,,,,,,,,,
b1,b2,4,5,220ACx2,,220ACx2,220*2,440,4,,,,,,,,,,,
b1,b3,4,6,220ACx2,,220ACx2,220*2,440,4,,,,,,,,,,,
b3,b7,6,10,220AC,,220AC,220,220,2,,,,,,,,,,,
b4,b8,7,11,660DC,,660DC,660,660,6,,,,,,,,,,,
b4,b13,7,16,660DC,,660DC,660,660,6,,,,,,,,,,,
b5,b6,8,9,220AC,,220AC,220,220,2,,,,,,,,,,,
b7,b9,10,12,220AC,,220AC,220,220,2,,,,,,,,,,,
b9,b10,12,13,220ACx2,,220ACx2,440,440,4,,,,,,,,,,,
b11,b12,14,15,220AC,,220AC,220,220,2,,,,,,,,,,,
b11,b14,14,17,220AC,,220AC,220,220,2,,,,,,,,,,,
b11,b15,14,18,220AC,,220AC,220,220,2,,,,,,,,,,,
b12,b14,15,17,220ACx2,,220ACx2,220*2,440,4,,,,,,,,,,,
b13,b14,16,17,660DC,,660DC,660,660,6,,,,,,,,,,,
b16,b17,19,20,220AC,,220AC,220,220,2,,,,,,,,,,,
b16,b21,19,24,220AC,,220AC,220,220,2,,,,,,,,,,,
b17,b18,20,21,220AC,,220AC,220,220,2,,,,,,,,,,,
b19,b20,22,23,220ACx2,,220ACx2,220*2,440,4,,,,,,,,,,,
b21,b22,24,25,220AC,,220AC,220,220,2,,,,,,,,,,,
b23,b24,26,27,220ACx2,,220ACx2,220*2,440,4,,,,,,,,,,,
b23,b25,26,28,220ACx2,,220ACx2,220*2,440,4,,,,,,,,,,,
b24,b25,27,28,220AC,,220AC,220,220,2,,,,,,,,,,,
lg1,b5,29,8,220ACx2,发电站,220ACx2,220*2,440,4,,,,,,,,,,,
lg2,b5,30,8,110AC+35ACx3,,110AC,110,110,1,,,,,,,,,,,
lg2,b6,30,9,110AC+35ACx3,,35ACx3,35*3,105,0.954545454545455,,,,,,,,,,,
lg3,b2,31,5,110ACx3+35AC,,110ACx2,110*2,220,2,,,,,,,,,,,
lg3,b6,31,9,110ACx3+35AC,,110AC+35AC,110+35,145,1.31818181818182,,,,,,,,,,,
lg4,a1,32,1,500ACx2,lg1可与a1合并,500ACx2,500*2,1000,9.09090909090909,,,,,,,,,,,
lg5,b1,33,4,110ACx2+35ACx2,,110AC,110,110,1,,,,,,,,,,,
lg5,b2,33,5,110ACx2+35ACx2,,110AC,110,110,1,,,,,,,,,,,
lg5,b3,33,6,110ACx2+35ACx2,,110AC,110,110,1,,,,,,,,,,,
lg6,b3,34,6,110AC+35ACx4,,110AC+35ACx4,250,250,2.27272727272727,,,,,,,,,,,
lg6,b4,34,7,110AC+35ACx4,,110AC+35ACx4,250,250,2.27272727272727,,,,,,,,,,,
lg7,b10,35,13,660DCx2,,660DC,660,660,6,,,,,,,,,,,
lg8,b11,36,14,110ACx2+35ACx5,,110ACx2,110*2,220,2,,,,,,,,,,,
lg8,b12,36,15,110ACx2+35ACx5,,110AC+35ACx5,110+35*5,285,2.59090909090909,,,,,,,,,,,
lg9,a2,37,2,220AC,lg9可与a2合并,220AC,220,220,2,,,,,,,,,,,
lg10,b17,38,20,220ACx2+110ACx5+35ACx10,,35ACx10,35*10,350,3.18181818181818,,,,,,,,,,,
lg10,b18,38,21,220ACx2+110ACx5+35ACx10,,110ACx5,110*5,550,5,,,,,,,,,,,
lg10,b19,38,22,220ACx2+110ACx5+35ACx10,,220ACx2,220*2,440,4,,,,,,,,,,,
lg11,b11,39,14,110AC+35AC,,35AC,35,35,0.318181818181818,,,,,,,,,,,
lg11,b14,39,17,110AC+35AC,,110AC,110,110,1,,,,,,,,,,,
lg12,b14,40,17,110AC+35AC,,110AC,110,110,1,,,,,,,,,,,
lg12,b15,40,18,110AC+35AC,,35AC,35,35,0.318181818181818,,,,,,,,,,,
lg13,b8,41,11,660DCx4+220ACx2+35ACx10,,660DC,660,660,6,,,,,,,,,,,
lg13,b13,41,16,660DCx4+220ACx2+35ACx10,,660DCx2,660*2,1320,12,,,,,,,,,,,
lg13,b14,41,17,660DCx4+220ACx2+35ACx10,,220AC+35ACx5,220+35*5,395,3.59090909090909,,,,,,,,,,,
lg13,b16,41,19,660DCx4+220ACx2+35ACx10,,220AC+35ACx5,220+35*5,395,3.59090909090909,,,,,,,,,,,
lg13,b22,41,25,660DCx4+220ACx2+35ACx10,,660DC,660,660,6,,,,,,,,,,,
lg14,a3,42,3,220ACx2,lg14可与a3合并,220ACx2,220*2,440,4,,,,,,,,,,,
lg15,b20,43,23,110AC+35AC,,110AC+35AC,110+35,145,1.31818181818182,,,,,,,,,,,
lg16,b21,44,24,35ACx5,,35ACx3,35*5,175,1.59090909090909,,,,,,,,,,,
lg16,b22,44,25,35ACx5,,35ACx2,35*5,175,1.59090909090909,,,,,,,,,,,
lg17,b24,45,27,220AC,,220AC,220,220,2,,,,,,,,,,,
lg17,b25,45,28,220AC+35ACx3,,35ACx3,35*3,105,0.954545454545455,,,,,,,,,,,
,,44,26,220ACx2,,220ACx2,440,440,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
通信拓扑,,,,,,,,,,,,,,,,,,,,
start,end,,,capacity(bps),注,,,,,,,,,,,,,,,
A1,A2,14,18,40GE,通信节点,,,,,,,,,,,,,,,
A1,A10,14,17,40GE,,,,,,,,,,,,,,,,
A1,B1,14,13,10GE,,,,,,,,,,,,,,,,
A2,A3,18,3,40GE,,,,,,,,,,,,,,,,
A3,A5,3,19,40GE,,,,,,,,,,,,,,,,
A3,A8,3,2,40GE,,,,,,,,,,,,,,,,
A3,A10,3,17,40GE,,,,,,,,,,,,,,,,
A3,B27,3,22,10GE,,,,,,,,,,,,,,,,
A3,B35,3,24,10GE,,,,,,,,,,,,,,,,
A5,A8,19,2,40GE,,,,,,,,,,,,,,,,
A5,B35,19,24,10GE,,,,,,,,,,,,,,,,
A8,A9,2,15,40GE,,,,,,,,,,,,,,,,
A8,A11,2,1,40GE,,,,,,,,,,,,,,,,
A8,B26,2,20,10GE,,,,,,,,,,,,,,,,
A9,A10,15,17,40GE,,,,,,,,,,,,,,,,
A11,B12,1,5,10GE,,,,,,,,,,,,,,,,
A11,B15,1,8,10GE,,,,,,,,,,,,,,,,
A11,B39,1,7,10GE,,,,,,,,,,,,,,,,
B1,B2,13,12,10GE,,,,,,,,,,,,,,,,
B2,B3,12,10,10GE,,,,,,,,,,,,,,,,
B3,B5,10,11,10GE,,,,,,,,,,,,,,,,
B3,B9,10,9,10GE,,,,,,,,,,,,,,,,
B9,B12,9,5,10GE,,,,,,,,,,,,,,,,
B9,B15,9,8,10GE,,,,,,,,,,,,,,,,
B12,B13,5,4,10GE,,,,,,,,,,,,,,,,
B13,B14,4,6,10GE,,,,,,,,,,,,,,,,
B14,B39,6,7,10GE,,,,,,,,,,,,,,,,
B20,B22,23,16,10GE,,,,,,,,,,,,,,,,
B22,B24,16,21,10GE,,,,,,,,,,,,,,,,
B24,B26,21,20,10GE,,,,,,,,,,,,,,,,
B24,B27,21,22,10GE,,,,,,,,,,,,,,,,
B34,B35,25,24,10GE,,,,,,,,,,,,,,,,
B34,B37,25,28,10GE,,,,,,,,,,,,,,,,
B35,B36,24,27,10GE,,,,,,,,,,,,,,,,
